"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method","slowdown"
3,3,1,4,"true","true",256,1,1.36263397941189e-10,120,"GA",1.16962963579657
4,4,1,2,"true","false",512,8,1.29363514465716e-10,120,"GA",1.11040383988665
10,5,2,4,"true","true",256,4,1.41563511285379e-10,120,"GA",1.21512365498374
4,4,1,4,"true","false",512,4,1.27446189399586e-10,120,"GA",1.09394630064512
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GA",0.999999999999996
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GA",1.01217714049193
5,5,1,2,"true","false",128,2,1.18427245214453e-10,120,"GA",1.01653134870712
6,6,1,4,"true","false",1024,2,1.18717485534039e-10,120,"GA",1.0190226536681
6,6,1,4,"true","true",512,8,1.18144018844621e-10,120,"GA",1.01410024864063
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GA",1.00556240508331
6,3,2,2,"true","true",512,2,1.61971939787545e-10,120,"GA",1.39030131205692
4,4,1,4,"true","false",256,2,1.25602448835109e-10,120,"GA",1.07812038086391
5,5,1,2,"true","true",512,2,1.19786051216568e-10,120,"GA",1.02819478726351
4,4,1,4,"true","true",512,8,1.26909617043121e-10,120,"GA",1.08934058157931
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"GA",1.00979555916615
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GA",1.0075402356347
12,6,2,4,"true","true",512,4,1.34066482063271e-10,120,"GA",1.15077220264145
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GA",0.999999999999996
3,3,1,4,"true","true",512,2,1.35560093260181e-10,120,"GA",1.16359275421039
4,4,1,4,"true","true",256,1,1.27412788675057e-10,120,"GA",1.09365960239852
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GA",0.999999999999996
6,6,1,2,"true","false",1024,2,1.20524986739671e-10,120,"GA",1.03453750951925
12,6,2,2,"true","true",256,2,1.36929473450724e-10,120,"GA",1.17534695730331
5,5,1,4,"true","false",256,4,1.21905973842592e-10,120,"GA",1.04639134163142
6,6,1,4,"true","true",256,8,1.19614452797975e-10,120,"GA",1.02672185616921
6,6,1,2,"true","false",512,1,1.19017365172127e-10,120,"GA",1.02159669862206
6,3,2,4,"true","false",1024,4,1.53478841764969e-10,120,"GA",1.31740000989493
12,6,2,4,"true","true",512,4,1.34066482063271e-10,120,"GA",1.15077220264145
4,4,1,4,"true","true",128,2,1.2616196070333e-10,120,"GA",1.08292300337692
5,5,1,2,"true","false",512,8,1.1931257630123e-10,120,"GA",1.02413067099199
6,6,1,4,"true","false",128,2,1.18718825467539e-10,120,"GA",1.01903415511276
12,6,2,2,"true","false",256,2,1.37455954892558e-10,120,"GA",1.17986606005848
6,6,1,4,"true","true",512,4,1.21740913105725e-10,120,"GA",1.0449745273404
12,6,1,2,"true","false",256,4,1.37042936332678e-10,120,"GA",1.17632087657511
12,6,1,2,"true","false",128,2,1.37325279558869e-10,120,"GA",1.17874439609546
5,5,1,2,"true","true",512,2,1.19786051216568e-10,120,"GA",1.02819478726351
6,6,1,2,"true","true",128,1,1.18258966570151e-10,120,"GA",1.01508691320631
3,3,1,4,"true","false",128,2,1.36120252443834e-10,120,"GA",1.16840093301602
4,4,1,2,"true","true",128,1,1.2777883632919e-10,120,"GA",1.09680160671411
10,5,2,2,"true","false",512,4,1.42308824451469e-10,120,"GA",1.22152112033525
3,3,1,2,"true","false",1024,8,1.38077893481354e-10,120,"GA",1.18520452817312
3,3,1,2,"true","false",512,4,1.36227302720955e-10,120,"GA",1.16931980909377
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,120,"GA",1.01488180994276
10,5,1,4,"true","true",256,4,1.43056850996213e-10,120,"GA",1.22794187622652
24,6,1,2,"true","false",128,2,1.42736530572719e-10,120,"GA",1.22519237587697
6,6,1,2,"true","true",512,2,1.1836397813052e-10,120,"GA",1.01598828976791
